,period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
1306,2019-07-30,17905.808622284774,9780.528498070998,9509.029334626473,13629.563040897729,6922.878103597588,6215.222159311905,3731.8067090136624,3538.087701224461,9990.788579239877,4149.599942824761,2927.2733080928992,1332.2576707913586,3647.3630262253137,8477.238531736188,6633.130435975048,18038.738924019726
1307,2019-07-31,16800.688169561923,8250.09501597002,9253.796899383324,11934.693839579168,7156.315993372841,5425.807341754714,3607.446834761731,3564.109852088095,8733.234911128926,3901.7401033980827,2533.0167139087353,1264.6568449712136,3434.1581360152995,8461.705570437238,6497.167317352878,16893.952956420435
1308,2019-08-01,19263.874668095617,9949.88968511121,10989.339758529324,14977.56268113083,7598.179783065012,6571.231581401659,3878.964659882959,3682.774663582237,9654.056252845818,4816.758694870828,2824.288164885404,1381.1383454662946,3743.045686187279,9184.449623644427,7659.59960809425,19007.002350572973
1309,2019-08-02,21311.34841411258,11541.251886940068,13673.91749099524,15189.422310622007,8336.008375135543,6789.99776991053,4234.424222537637,3849.3228706155737,10758.829931770315,5143.10907949335,3283.0393453266975,1460.1795436709576,4207.936595065891,9738.415066944886,8068.528587310588,21128.413304554062
1310,2019-08-03,21798.599196482723,11882.036972900209,13575.99042296805,14799.97555683386,7503.34586999702,7674.349237054826,4550.503046194767,3729.6166823054714,11284.715657649016,4953.083347694479,3448.4390621260864,1427.9389171879336,4057.133048338531,10344.155547574193,8401.690601413095,19392.427345531432
1311,2019-08-04,18263.468535698143,10124.411654525778,10601.81624274434,12486.148593975022,5706.7106688021595,6237.924576321105,4267.586182764856,2985.3589352731447,8607.481002559589,3908.970183010455,2839.890840535549,1203.2959402937272,3629.6829455495104,8988.750514888367,7262.090793298063,14859.239544238604
1312,2019-08-05,16418.14414855373,7832.890857808809,8667.308955681689,11517.207013533603,6331.989593370002,5224.583838696533,3672.7356005173374,3201.8702240937514,9292.378270745454,3452.4914239075747,2238.625243934213,1285.4570990697198,3542.3210646737957,7309.246261312253,6383.000981114202,16603.580561099243
1313,2019-08-06,17053.641321613344,7968.173269408002,8375.620129762006,11758.144801220757,6609.197546784526,5602.2649370285435,3628.1734804703865,3515.1866134248626,8854.832830682497,3180.8780959530727,2201.175983646902,1386.3384089909214,3693.124611401156,7504.949871071298,6497.167317352878,17359.807574302005
1314,2019-08-07,16900.20948201438,8574.357059292093,9078.791143932998,11332.353287666712,6510.194356331598,5519.7112413336135,3614.701889741943,3480.836515417388,8830.927387431599,3467.9832079776734,2361.3743784527637,1350.9782096538004,3700.405068118414,7621.95344364918,6531.416041292386,17321.15974255948
1315,2019-08-08,17686.02420174189,8576.422439621852,9686.12746823869,12295.062435171338,7289.7083733489335,5749.827633726452,3735.9518138531835,3604.7066772994112,9262.236413567978,3746.8266155445476,2513.251432267243,1470.579670720211,3810.6468416492053,8034.065276895223,7326.437593991742,18195.417389951675
1316,2019-08-09,20228.00533501692,9660.739107395037,11122.686453278959,12821.591375125457,7998.35814781038,6440.178820146232,3999.178307784319,3760.844183556986,10610.210792405489,3832.5450639290407,2694.2564053776523,1653.622139417405,4229.777965217666,8912.125440082986,7728.100979080248,20421.2763198937
1317,2019-08-10,21581.929068870904,10432.15065520978,12529.047331874655,13549.59516787972,6984.363921671556,6993.284763743864,4434.434503132928,3940.922620738197,10864.839246910382,3982.2938982846354,2992.8091910130847,1502.8199094860024,4054.013881097244,10264.42478070962,8956.959317214949,19469.72300901647
1318,2019-08-11,17861.225856004614,9132.004411426855,10432.013157318173,11362.46953180125,5303.406570835182,5928.348719775434,3911.0903439002964,2999.932075928903,8595.008174706436,3683.8300308425246,2813.885520898349,1317.6977255527438,3624.4831335702374,8627.378488284772,6992.239879646389,14668.09402647841
1319,2019-08-12,15886.325717830277,7422.915530801753,7904.740792068216,10674.966759872554,6128.774065367163,4731.32917378463,3278.9315750749893,2961.4180043495094,8015.08000920523,2892.739182659395,2173.089361014028,1334.3377737446558,3380.0775716188973,6573.044209181891,6301.008045222366,15851.527825820218
1320,2019-08-13,18093.444771381484,8702.407971287092,9094.418004259185,12758.240711735272,7252.192225787067,5860.243477989095,3870.6733286928666,3714.002164833752,9341.22450889679,3446.29514556428,2642.2431854423767,1499.699948914673,3743.045686187279,7976.078855447989,6939.305397158899,17903.998174154276
1321,2019-08-14,18847.126337589674,9122.710199942941,11087.266826556515,12880.789694761399,7478.335104955776,6013.998656253723,4100.737862396784,3649.4659423907237,9988.708154329062,3996.7540575093803,2835.7308152050773,1692.1026870430878,4129.93401577973,8819.971904981638,7258.975846355568,19378.851189293484
1322,2019-08-15,18002.215641806164,9918.90898016483,10050.729075511437,13240.116287109578,5864.072719290354,6072.817184931246,4290.385380893272,3479.7951386014274,8851.717054122142,4072.143198897992,3057.3037772702137,1309.3773137395553,3661.9239396598296,9817.110603123063,7237.179063972073,15704.251238202483
1323,2019-08-16,18911.400203591744,9770.201596422206,11202.913133071783,14111.434698966605,7741.994131686351,6624.892387761932,4543.249112725604,3672.3654964983984,10213.199612462347,4578.1921847472295,3195.6581680997847,1414.4188295673512,3887.6090985663745,8828.25375047282,6952.800885171718,18299.871867903148
1324,2019-08-17,21406.72741460818,11735.394969487343,12769.689670745707,15083.494454529133,7654.455229224904,8025.200936827332,4768.131143869071,3565.151228904056,10899.137093103618,5134.847375035624,3716.8252124634087,1413.3789719493188,3903.2103343698827,10727.271919595129,8022.859698950929,18337.47287916947
1325,2019-08-18,16497.97436128428,9786.724639060276,9393.401878364917,12559.884034056236,6021.434769778549,7076.871209447,3918.3442773694587,2862.5301502070834,8554.473914586624,4589.553116588464,3291.3619766485162,1252.1766149686632,3527.76015123928,8787.870751697334,6195.143003354366,13309.184506566762
1326,2019-08-19,14840.293682200005,7916.538761164035,7994.336047955269,11557.711951664602,6570.637855059333,5362.859822285625,3387.7461846676665,3000.971919052941,8245.803020459225,3817.053279858943,2508.0501102737157,1238.6565273480808,3276.0741325706813,6417.723598198335,5676.1983350846895,14992.939975618385
1327,2019-08-20,15958.891766709481,7915.506070999156,8568.326273446697,11368.698047432612,6741.5476074143835,5802.455690078517,3238.515681378609,3284.1021839484974,8435.99663239927,3736.49948497239,2565.264652202519,1511.140321299191,3354.076711856843,7363.091760013896,6151.549438587375,15444.1716167858
1328,2019-08-21,14511.660188338317,8145.793309317209,8693.341156056193,11608.597749181205,6848.886903002997,5372.146535394442,3531.795306907322,3348.6399400834493,8246.843232914633,3865.59405818367,2904.386717123116,1267.776805542543,3359.2765238361158,7106.300537751409,6082.012367358533,16117.881868103581
1329,2019-08-22,15836.557502640628,8217.048930693883,9071.49609574695,11750.874282345407,6799.907692266744,5930.414219791847,3606.4105585518505,3406.9309690145597,8561.750540968605,4031.866301454716,2479.963487640842,1419.6188930919777,3439.3579479945724,7429.360026952314,6091.353285079033,15907.93259371496
1330,2019-08-23,17100.295243871933,8887.259510800492,10222.624539099495,12475.763817283989,7450.19738187583,6458.754255605128,3988.8144241744662,3537.0463244085004,9323.55547957247,4480.081179676146,3009.453163326285,1550.6607265429063,3924.009582286974,8208.020040233943,6601.992735871053,18318.66912254104
1331,2019-08-24,20925.697659136746,10899.95663145008,13129.088607994297,15314.043548219826,7525.230901816655,9010.67952588419,4819.947197385184,3737.944629449311,10889.780041810822,6175.861312336138,3819.8103556709043,1530.9003300624322,3987.45124813862,10371.076046423523,7707.343820046577,18048.14080233394
1332,2019-08-25,15601.231853296113,9752.645863619258,9422.5632208554,12459.146607656165,5825.514252382254,7230.626387711628,4287.276552263631,2946.8448636937505,8435.99663239927,5090.439625363484,3360.0178785665553,1261.5368843998842,3633.842435159791,8938.010708245918,6438.006864087381,13181.751994063121
1333,2019-08-26,13869.949547343424,7311.3876614448245,7220.325780339391,10666.658155058643,5976.623611610138,5316.424247500279,3318.312314072539,3148.7830118585994,7811.37821776249,3737.531109817743,2518.452754260771,1148.1753444761325,3131.512520057276,6207.526758829721,5954.354466214018,14150.015420616372
1334,2019-08-27,13882.391601140836,7397.098276679771,7376.57553334755,10399.760384296622,6267.378042074424,5501.135805874718,3270.641365395947,3431.913276754156,8106.536071581329,3769.548479227018,2473.7221593146965,1324.977504313435,3463.2799628843313,6523.339633225841,5673.087311249176,14549.023073803313
1335,2019-08-28,13304.947267184585,7453.896235748134,7471.373459258762,10926.289324250742,6575.8482269734095,5407.231906295819,3389.818737087427,3481.8778922333495,7997.4109798809095,4022.5729721516363,2827.408183883258,1319.7774407888085,3484.0792108014225,6944.768542649465,5978.222649083203,14159.417298930584
1336,2019-08-29,13646.022814843685,6925.164208229993,7677.651785615171,9781.836791389474,5759.860381740443,5261.7327003730625,3333.8575787317927,3248.7107091250623,7693.936287224678,3552.670031516813,2488.2861189626606,1233.4564638234544,3279.195099677659,6166.108529367837,5825.653018612698,14652.43073127859
1337,2019-08-30,15883.211424899213,8855.246115689233,9695.496044332918,11737.375247838692,7036.471315263606,6970.5823467346645,3880.000936092839,3565.151228904056,9054.378633109476,4653.583502559565,2797.241548585148,1488.2599642473879,3755.52595488381,7187.066535302382,6710.972724681546,15937.178547143269
1338,2019-08-31,18687.473471092006,10859.681715019786,11413.338515244552,14699.242047739217,7163.611003979387,8999.32731275896,4765.02231523943,3758.762963616988,10518.75473002939,6197.549374749531,3869.7422726105065,1346.818003747206,3841.8475133905317,9506.473882158933,7346.159052782567,15408.65774448135
1339,2019-09-01,13888.612628039544,8789.153945136955,8229.775716802164,11670.910326632827,5129.36986044143,6539.242451283643,3757.7147357717186,2763.6422960646573,7685.619448387289,4840.512183398651,3128.040982183926,1216.8164156315424,3191.8332188019444,7379.659951999247,5659.591823236357,10743.863152761141
1340,2019-09-02,11249.18133829049,6081.461680423656,6066.068194870866,8688.27397335024,4979.304045376873,4427.945798805678,2552.4683066174275,2826.0972985676876,6130.8275015466825,3113.748482598463,2148.122757379008,1103.4548757077907,2889.1858029782306,4664.704462879018,5105.362730784329,10802.355059617754
1341,2019-09-03,11181.793179357355,5771.657299409893,5429.551677820979,8281.17192399571,5315.911953355804,4361.902038553229,2536.923041958174,3145.66041510264,6546.547923269553,2990.8523641542024,2036.816273180131,1160.6555744786826,3002.5485436159993,4988.803683769304,5246.512196834682,11790.462561285098
1342,2019-09-04,9597.729245068347,5613.658372633395,4802.422587119032,7051.565005729061,4762.539590690084,3871.7436144246867,2340.0215899925242,2996.8079454810204,5935.437688135466,2572.587252803891,1851.649984408812,1152.3355503827268,3030.6300481160383,4885.258110114594,4933.071641523,11349.679618908098
1343,2019-09-05,11154.845474747528,5527.94508894841,4964.949474612861,6956.018009021791,4887.595865530489,3709.7324638181863,2255.0424547381435,2946.8448636937505,5875.158834586383,2602.5370196750096,1804.8393767975017,1115.9347179931083,2895.425937326496,5015.724182618635,5069.03476014517,11045.724565358418
1344,2019-09-06,12517.061391478648,6333.438080654212,6183.788029294313,7736.987688475206,5399.282803249408,4095.6695344920686,2504.7973579408354,2985.3589352731447,7020.466773630694,2678.9599623326994,1810.0406987910292,1275.0569720204667,3075.349511057198,5311.863172970209,5439.560445129681,13262.181616986232
1345,2019-09-07,10048.689444035464,5464.9509888907705,5349.343848281866,6912.402730380541,3526.5717627674885,3236.083975132125,2248.8247974788615,2537.7632169761728,5644.435823332389,2116.1106701247345,1439.7107019092668,939.1325581558057,2497.097661406507,5313.933634343005,4768.050069496483,10357.391337326482
1346,2019-09-08,14781.20526510743,9159.887045878597,7701.610458081496,11171.379455692137,5679.615265068447,6464.944727930584,3360.801881699729,3026.995603608498,8322.710690877222,4507.965520432834,2972.003903038974,1198.0958767691006,3391.5175179464354,7978.149316820784,6375.73538698637,12522.664719459493
1347,2019-09-09,11455.480568083321,5883.187837216862,5312.887457605333,8152.398342643649,5314.86963400957,3819.1155580726218,2468.5254475729266,2625.2005272187994,6205.659607859732,3171.582590226269,2080.5068617935876,1020.2534715965332,2891.266447716216,4744.435229743592,5101.20816049201,11180.465315223868
1348,2019-09-10,11044.953264476084,5679.747874735634,5338.919657979837,7704.795272463549,5014.73555424627,4035.8182558063386,2469.5617237828073,3189.3783033779914,6026.898611317431,2988.7869380397706,1939.0324519661629,1208.4960038183538,2874.6248895437147,4991.909375828498,5272.459626403514,11280.73901326107
1349,2019-09-11,12622.803730829812,7395.0328963500115,7089.052613497936,9044.486307882738,5604.5817451276225,4868.572407365516,2855.075539546113,2612.7086065030394,7327.062103653145,4033.931727569148,2918.9506767710805,1218.8961308676069,3029.5897257470456,5709.477275603699,5512.212463301017,12550.870354402132
1350,2019-09-12,12015.297399332665,7282.472336828203,7304.699515948574,10212.822651941751,3752.7146419361975,4471.285132807664,2660.2455184891746,2066.226567755565,5935.437688135466,5420.918685791146,2699.45772737118,816.4107488008331,2367.0933625962375,5847.189962912524,4406.865302232473,9612.653341399802
1351,2019-09-13,11866.015430653983,7165.778348196838,9054.832471466672,12258.71375810001,3977.8152017586717,4956.285834618957,2708.9538648866965,1912.1702814379885,5028.1293867271315,8359.101595815484,3284.0793516593158,834.0910423280098,2246.4519651069013,5760.212581243164,3823.5699101621376,8932.675171205878
1352,2019-09-14,16944.784689331118,10560.204235654817,10528.903461391274,15484.364070946875,6251.7457015151,6590.837757627501,3575.321150744393,2537.7632169761728,7800.980954014284,7848.921757737383,4004.9753541117857,1178.3358680058593,3448.7190494498154,8404.7543796764,5717.71265315203,12612.496220696816
1353,2019-09-15,14428.730800603555,8897.586412449285,8300.61497024705,11476.705992708035,5155.424169646,6862.232002488437,3288.2591824749616,2623.1177735868782,7341.610495611246,6183.091391948511,3636.725369895259,996.3332569266977,3207.4326547397627,7188.10176598878,5518.438434079024,10414.836423706893
1354,2019-09-16,12630.060335717732,6437.737118856986,6437.964850329663,9487.937034308598,5550.390937660199,4756.095081568982,2701.6988099064847,2975.989611313344,6588.117535038907,3793.2997913311183,2141.8814290528626,1315.6176225994468,2997.3487316367264,5045.750373527157,5211.227772652329,11834.331491427558
1355,2019-09-17,12199.834373425161,6536.875374685402,6544.223730496992,9526.361883257048,5893.252761716534,4852.0624719230345,2756.6248135632886,3272.6531737406217,6968.504758919001,3608.4387130301884,2379.0596474290196,1274.0171144024343,3061.8307198573652,5465.108821577986,5227.8303613936805,12204.08668919566
1356,2019-09-18,12340.824159226713,6947.883391857338,6632.782222429956,10222.169342694224,5975.581292263903,5512.4880189999485,2859.2206443856344,3274.73439368062,7158.693510053182,3731.334831474449,2449.796852342732,1287.537202023017,3279.195099677659,6050.140187476352,5438.524744886837,13030.301128521649
1357,2019-09-19,13290.434057408747,7118.274600612389,6990.088781516655,10040.429874643014,6011.014025950395,5521.774732108765,2874.7647875338384,3325.7388522838505,7221.05278851308,3880.05204098469,2375.938338100728,1270.8967661138722,3273.995287698386,6204.421066770527,5546.465110347506,13636.117594668607
1358,2019-09-20,16469.983519721813,8854.213425524353,8843.351475086103,11102.83836260915,6955.18510406247,6330.795725891797,3325.566247541701,3697.3478042379957,8742.587101615856,4229.122112865959,2856.53481284875,1277.1370749737637,3607.843375263427,7292.682570329887,7065.92759806057,17075.696595866415
1359,2019-09-21,19459.81055903289,11731.264208827826,12195.68059500057,13861.15413783241,7377.248500627474,8286.273709329982,3943.216027917635,3952.3731646379965,10276.594242571784,5415.75620871693,3278.878029665788,1279.2171779270611,3557.9223004773044,9603.808071695255,8179.579976606769,18845.10278624109
1360,2019-09-22,12801.112119060175,7518.9557161355315,7070.315461309479,8812.895210948058,5223.16267898028,5122.423966775762,3135.9187290452132,3116.5141337911236,7123.360312210404,3662.1419684291313,2282.3158325476697,1199.1361221043655,2866.3059103231544,6880.570737083844,5524.668327964011,11305.81068876564
1361,2019-09-23,11889.85640129617,6657.700123976284,6576.514215103456,9542.97909288487,6237.15568030201,5571.306547677472,2699.626257486724,3177.929293170116,6526.803329840283,4168.190954278368,2718.1817123496166,1114.894860375076,2896.4662596954886,5636.99312354391,4927.881370987838,11766.437706256731
1362,2019-09-24,11147.588869859606,6829.124022896214,6584.846027243594,9899.19142741737,6454.96122951794,5565.116075352014,2819.8399053880844,3537.0463244085004,6840.670425438851,4141.338238367034,2520.5340572564446,1320.8176861240731,3197.033030781217,5858.582001465885,5187.355666676165,12940.469627284327
1363,2019-09-25,11581.964703072455,6833.254783555732,7510.9589920512735,10345.756411658911,6337.201190101173,5937.637442125512,2815.6948005485633,3531.8409740206193,7044.372216881592,4362.347538306102,2669.2898017426323,1395.6986784221422,3192.8735411709367,6153.6857611310625,5198.771907989335,12726.34607497197
