사용일자,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
20160226,129049133260,1723817856203732033036583623,3020431883,,318273476467376468,447214969038589436311802020784,602246271825504264579781426,4776461585818986101528257086708782,117031341430639270574024041750637296342125372252031593915761,849589141758322264,17049165504811457344184427460849319648100791725618263,1034014149164251671045431430803400234392,26720314482795331404,1188612311533454826444,4901351310,85818986101528257086708782
20160227,9319698445,33383347158581565698879884,2659230040,,493347351565817087,160891739437077393843544737839,67367357811592562092822074,37623682895987651535272991077104277,4257489243464406551308911557114481115162286839102569927026,2183926139940210786,8135647132783326309629803426312715067158431236411844,136521467641587392003111329247636710302,18806199491750018788,94069953396340064844,5255354513,895987651535272991077104277
20160228,5591453901,22972244111591076062456553,1650917423,,8622919732323162,1836018526199302052584479038,15214161314154040408543518,2599262971684694611318216769386479,159421552820333335033105029415881284124190410415091674,165321506463326605,86528410102521128654285651208221551962199522992170,373456122243020489136021291988737991,1030710640974810501,60676736522827792781,4008840225,71684694611318216769386479
20160229,116106119085,3295325719400190731578916424,2283124835,,596255542934532397,154651762638818436683356437668,892135862367650272682729020,4486412913012178819478881076927918,5512856278209192104815415151931064412121384853882860736783,153341854966867076,1642417154157891501091749638435446624034408645524348,3870837017307123107910364136721469715050,24442278592310727213,1058610971554448044982,4436945803,13012178819478881076927918
20160301,5668955314,18651801688671461134310772,1816020434,,346233931107312129,9168992818520189841862519831,46844315599168414202440910,2793284066176254119618467140770589,312435681676516603203600396077957742763367683327631690,656968901531015524,26822438217921132541277071626973914586971173012568,21633206802995427564108121074445257049,96561075483358740,55323107323668147298,3557737617,66176254119618467140770589
20160302,106113105808,3741385919479188791743217998,2747329628,,315453463464966396,398634392033093359991597017766,5579355762267442852810431404,4979470675317410721217420414171979,624168165645857187243322419715168149441152713006204152742383,134511448667397060,497446121031610712454450084286429817157182251709416447,138831393436951339013024530203983112349,27691304702598229882,1123511831508451284831,4435345830,75317410721217420414171979
20160303,111147111039,1754018124197921951239674022,2862430706,,316453484468056494,166731871840435442343425637299,5719057646271442905210711510,5083473873545767941395185175297820,585095952524069240741534815252429474328111181128471062536763,701373381420715467,17448184121746516812439244634533499299851032649464620,394153616731066316439955127471509915015,26004303422783731139,1160212137554354995388,4564847306,73545767941395185175297820
20160304,120108123979,2015220103176831823838753856,3025132338,,321333535469836766,172941970137015417674225446795,1010148127287293616201664336,4977471616952379859787598081693300,626456243125115251831596615680426094375750116471333164107097,829287551677421205,459645494669510010437106821771518581178161722849684703,4323641217325723295910182133881579916600,27865314172688531475,6141541354251204612525,4869550714,16952379859787598081693300
20160305,8480489196,26992750143591416793989417,1806419644,,137531469444064280,143021537029743317593388935593,18967194735316853906478549,3240319573173826907716728312052019,97709691107011007135851353863896431022207223325052015637,160971962064817492,1341914201869468612910316927812711314229381097810437,26870262973179431258124101228064499307,15871164401567516976,31403703369284228871,4044243762,73173826907716728312052019
20160306,5581654790,21492188112501096863056441,1696819566,,96281022440184035,8002862018896192881946520616,15944168124167240770490482,2683277570686700447351644413272045,468144849025881632216309581640185115137150932032753724,173991622672257368,10441112255160556220042116199219972348213292468748,131971317524542213418819834833525585,883294401034711266,56393059336969917825,3553737882,70686700447351644413272045
20160307,111604112193,1915918834176181784737673728,2860430593,,318743476165746529,338443700437288413401584917590,2841130688554585604910121415,5123463374544754418062748414131864,422544323120111941300315302152352416323946517715268864366786,136861451563386709,16923164171697417914956010160453049134447441248524574,976312469319203196540448376671490514673,27596306632591630059,4649507351611141911842,4305044546,74544754418062748414131864
20160308,113238112537,1765118198197691941437313719,2967431814,,319663474366246335,410284483434273371251635718232,5889559100282622999810021416,5092481774997756931333187076267735,595165982024672242141565215500115241317640431564329163316920,686370291384814701,17419184081769016927499246024536453646074968966710229,3977837420321593192410268127161519714894,26197304492746430415,1166812287521552915435,4663847715,74997756931333187076267735
