period,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
2018-10-10,13255.18661,6806.404839,8256.844681,9476.514172,3791.273109,3677.743334,3023.996412,2608.546167,6474.836454,4433.608004,2316.643784,1130.495051,2778.944029,6312.107563,4645.578516,12044.28077
2018-10-11,14586.30495,6917.935377,8608.96742,9819.223554,4055.974455,4033.754765,2982.543121,2885.429704,7556.749763,4435.67343,2495.567454,1197.056019,3200.153998,6806.020625,5103.287407,13356.1874
2018-10-12,19433.89843,8505.166818,12035.26494,11580.55768,4717.728433,4896.434556,3611.59194,2944.76211,8376.75313,5183.385977,3054.183758,1333.297916,3490.319345,8025.77893,6124.566309,16586.86394
2018-10-13,23168.07172,11904.75616,16665.81091,14102.08801,4684.380338,6808.573205,4403.345095,3237.261699,10200.72678,7269.54688,4173.49638,1357.218131,3837.688024,9963.109637,7556.849513,17236.55584
2018-10-14,16486.56789,9140.265933,11812.32299,11805.91634,3700.608473,6021.221879,3691.389694,2657.469405,8023.391987,5949.689535,3461.963015,1339.537837,3219.912923,7761.741093,5808.010807,12198.86559
2018-10-15,12858.13694,7515.857646,7646.398065,9969.808692,3886.107022,3723.148168,2769.060128,2566.907965,6762.722543,4442.90351,2597.51259,1096.174709,2998.389054,6013.898111,4724.456505,12185.28943
2018-10-16,12651.83015,6706.233893,7699.51808,9458.858876,4202.915762,3866.583883,2815.694801,2802.156368,6731.545334,4334.463198,2542.379352,1145.055384,2890.226125,6287.257526,4938.261912,12441.19478
2018-10-17,13571.37805,6747.5415,8600.635608,10234.63421,4341.518513,4317.529955,2945.234934,3014.503683,7114.008122,4797.136059,2672.411111,1337.457734,3157.51158,6829.835431,4924.770347,13292.47439
2018-10-18,14154.00027,7102.784248,8261.029437,10503.61207,4404.046651,4312.370223,2942.126106,2935.39432,7234.565829,5020.210785,2958.47995,1245.936694,3192.873541,7738.961517,5157.25759,13746.83349
2018-10-19,17412.33681,8833.559622,11143.53483,12016.73788,4547.861,5416.520629,3419.871869,3271.611797,8672.956058,5962.082092,3490.049638,1483.059901,3492.39999,9028.098283,6348.748334,16766.52044
2018-10-20,21178.65081,11437.98287,15015.6974,14747.01359,5152.297212,7199.667998,4266.549907,3427.749303,10574.87273,7962.524547,4443.962543,1355.138028,3873.048185,10388.67947,7509.105301,16872.02174
2018-10-21,16240.87134,8903.782553,10247.61998,11653.25503,3459.875573,6566.07185,3489.305739,2759.478322,8400.658574,7181.763006,4137.087126,1160.655574,3149.192601,8276.358769,6306.194393,12093.37079
2018-10-22,12137.63166,6373.710329,7746.398661,9164.955202,3829.832801,4146.232091,2780.460288,2770.928866,6851.062828,4513.130174,2763.952314,1050.413995,2943.268167,5621.464663,4411.015949,12017.12195
2018-10-23,12045.36696,6338.598863,7814.108772,9043.448222,4436.352427,4053.360941,2914.145527,2870.858097,6956.031931,4249.77855,2781.637583,1223.056337,2866.30591,6251.01545,4777.390987,12417.16992
2018-10-24,13277.992,6873.5297,10734.12617,10061.19943,4379.035886,4572.414264,2931.763344,2961.418004,7574.413932,4907.641797,3077.069059,1364.498297,2979.668651,6729.39555,5444.750716,13218.31269
2018-10-25,14625.70227,7191.595602,10123.66071,10363.41171,4463.44783,4502.243522,3147.318889,3161.273399,8147.070332,5097.667529,3143.644948,1296.897471,3061.83072,7627.129597,5718.752277,13943.20661
2018-10-26,17549.18429,8079.701139,12532.17647,11670.91033,4534.313298,5231.807061,3305.877,3282.020964,8956.686157,5449.836828,3354.816557,1331.217813,3259.434374,8736.100215,6575.009606,16285.00253
2018-10-27,22332.49634,11383.25029,17902.3687,14820.74903,4975.134768,8388.433581,4323.547341,3497.490876,11505.04627,8110.207955,4767.480642,1466.419465,3668.164074,10786.29357,8746.268857,17922.80193
2018-10-28,15165.82044,8406.028562,10218.45863,10847.36345,3238.94429,5671.402929,3486.196911,2729.292198,7990.134353,5180.288926,3598.236103,1207.456146,3154.392413,8058.915314,6781.549419,12315.8494
2018-10-29,12779.3423,6624.654039,7986.004236,9283.347924,4028.879051,3706.636223,2413.600565,2778.215437,6988.249352,4091.765835,2811.804218,1120.094924,2756.062337,6106.051647,5196.696584,12137.23972
2018-10-30,13243.78769,7049.08436,8949.610355,9614.634444,4220.631516,4151.391822,2751.442311,3067.590895,7095.29888,4185.745988,2915.829367,1244.896448,3153.35209,6626.885207,5304.63695,12476.70865
2018-10-31,14225.5383,7040.822838,12232.15584,9633.327825,4172.6934,3841.817975,2751.442311,3084.245256,7348.887122,4618.471259,2966.802581,1258.416924,3127.351231,6902.315083,5344.075944,12893.46674
2018-11-01,14992.68994,7491.073082,8381.859564,10814.12904,4383.203938,4290.700556,2875.802185,3325.738852,7878.928837,4683.533269,3162.370223,1336.417877,3173.112816,7685.116019,5810.08613,13694.6095
2018-11-02,18451.10468,9058.68341,11432.09452,13025.1424,4822.984314,4891.274824,3558.73961,3547.455491,9671.725282,5906.31341,3622.16141,1294.817369,3584.961683,8654.298987,6875.994297,17343.09746
2018-11-03,22560.57295,12268.26043,14837.54365,17269.582,5396.155845,6891.124892,4148.408811,3845.158897,12385.33335,8478.900663,5109.724016,1282.337138,3796.087728,11920.11423,8679.842809,18226.75048
2018-11-04,16438.87839,9564.698922,10183.03901,13180.92188,4135.177252,6168.784575,3396.036394,3172.723943,9043.98623,6796.546889,4161.013724,1154.415266,3330.156497,8659.475141,6479.521182,12682.47714
2018-11-05,12397.84142,7306.224211,7481.79765,9777.684448,4217.505783,3878.966837,2523.451451,2992.645506,7467.369265,4111.388471,2796.200252,1243.856591,2861.106098,6324.534832,5169.709531,12586.38423
2018-11-06,13298.72624,7158.549517,8692.304392,10035.23553,4486.375181,3874.839855,2751.442311,3315.329685,7691.855862,3685.895457,2679.692446,1256.336821,3124.232063,6684.871628,5182.165396,12806.7757
2018-11-07,13215.79685,6460.456302,7644.305687,9534.670488,4313.382015,3642.657963,2712.062694,3380.908818,7324.981679,3278.989101,2624.559207,1251.136757,3171.032171,6779.095625,5302.561626,12954.05229
2018-11-08,14010.93933,6714.495415,7799.518676,9740.297685,4138.302985,3592.093397,2606.356913,3441.281067,7489.194283,3337.85701,2465.399528,1220.976234,3047.269806,7035.886847,5697.995117,13746.83349
2018-11-09,18971.53176,9214.619625,11026.85176,13461.32261,5176.266882,4869.605157,3286.18663,3957.578515,9704.982916,4578.192185,3139.484923,1492.419782,3709.76437,9207.2292,7178.022534,17415.16552
2018-11-10,22377.07155,11942.96569,14482.31062,16081.51419,5258.594188,6293.646864,4004.359689,4341.677854,11740.97034,6150.042398,3918.634183,1391.538473,3736.805552,12203.82595,9053.483441,18197.50453
2018-11-11,16513.52315,9097.925636,9960.097056,12767.5874,3950.719798,4999.625169,3275.822746,3424.626706,8636.577786,4825.020399,3141.564935,1177.295623,3202.232843,9541.680728,6604.068059,12817.21789
2018-11-12,13300.80496,6912.771926,7656.803405,10552.42169,4083.069859,3940.881606,2725.534284,3361.130327,7270.939239,3643.550957,2533.016714,1112.814757,2976.547684,6407.371291,5507.022193,12587.42455
2018-11-13,13760.05734,7525.151857,7526.585852,11122.56983,4647.905284,4079.15759,2902.746488,3568.273826,7735.505899,3459.721504,2690.09509,1270.896766,3140.871822,6721.113704,5682.428229,13675.80574
2018-11-14,14654.72869,7410.523249,8009.962908,11366.62188,4690.633029,3968.743755,2825.021286,3447.527794,7894.522302,3575.389719,2608.955241,1298.977187,4264.097804,7459.386218,5787.253647,14272.22683
2018-11-15,15379.37628,7766.798687,8394.357282,11175.53572,5333.627708,4060.584164,3000.160938,3729.616682,8056.649621,3850.102274,2613.116556,1395.698678,3962.490711,7565.002253,5971.996678,15263.4683
